label,h0_pt0_x,h0_pt0_y,h0_pt0_z,h0_pt1_x,h0_pt1_y,h0_pt1_z,h0_pt2_x,h0_pt2_y,h0_pt2_z,h0_pt3_x,h0_pt3_y,h0_pt3_z,h0_pt4_x,h0_pt4_y,h0_pt4_z,h0_pt5_x,h0_pt5_y,h0_pt5_z,h0_pt6_x,h0_pt6_y,h0_pt6_z,h0_pt7_x,h0_pt7_y,h0_pt7_z,h0_pt8_x,h0_pt8_y,h0_pt8_z,h0_pt9_x,h0_pt9_y,h0_pt9_z,h0_pt10_x,h0_pt10_y,h0_pt10_z,h0_pt11_x,h0_pt11_y,h0_pt11_z,h0_pt12_x,h0_pt12_y,h0_pt12_z,h0_pt13_x,h0_pt13_y,h0_pt13_z,h0_pt14_x,h0_pt14_y,h0_pt14_z,h0_pt15_x,h0_pt15_y,h0_pt15_z,h0_pt16_x,h0_pt16_y,h0_pt16_z,h0_pt17_x,h0_pt17_y,h0_pt17_z,h0_pt18_x,h0_pt18_y,h0_pt18_z,h0_pt19_x,h0_pt19_y,h0_pt19_z,h0_pt20_x,h0_pt20_y,h0_pt20_z,h1_pt0_x,h1_pt0_y,h1_pt0_z,h1_pt1_x,h1_pt1_y,h1_pt1_z,h1_pt2_x,h1_pt2_y,h1_pt2_z,h1_pt3_x,h1_pt3_y,h1_pt3_z,h1_pt4_x,h1_pt4_y,h1_pt4_z,h1_pt5_x,h1_pt5_y,h1_pt5_z,h1_pt6_x,h1_pt6_y,h1_pt6_z,h1_pt7_x,h1_pt7_y,h1_pt7_z,h1_pt8_x,h1_pt8_y,h1_pt8_z,h1_pt9_x,h1_pt9_y,h1_pt9_z,h1_pt10_x,h1_pt10_y,h1_pt10_z,h1_pt11_x,h1_pt11_y,h1_pt11_z,h1_pt12_x,h1_pt12_y,h1_pt12_z,h1_pt13_x,h1_pt13_y,h1_pt13_z,h1_pt14_x,h1_pt14_y,h1_pt14_z,h1_pt15_x,h1_pt15_y,h1_pt15_z,h1_pt16_x,h1_pt16_y,h1_pt16_z,h1_pt17_x,h1_pt17_y,h1_pt17_z,h1_pt18_x,h1_pt18_y,h1_pt18_z,h1_pt19_x,h1_pt19_y,h1_pt19_z,h1_pt20_x,h1_pt20_y,h1_pt20_z
ALEF,0.0,0.0,0.0,-0.0882554054260253,-0.0553930401802063,-0.0315401732008097,-0.1621574461460113,-0.1512092351913452,-0.0511024101655124,-0.2188620567321778,-0.2265242338180542,-0.0709206490795253,-0.271768569946289,-0.2693072557449341,-0.0908302991668818,-0.0886472463607788,-0.3266807794570923,-0.020018586052501,-0.1163314580917358,-0.4521875381469727,-0.041014055816376,-0.1278318464756012,-0.5268145799636841,-0.0624091207067607,-0.136304259300232,-0.592851996421814,-0.0803940027038691,-0.0311937928199768,-0.3431193232536316,-0.0255574408005116,-0.0492446422576904,-0.4777598977088928,-0.042449480948889,-0.0624385476112365,-0.5629264116287231,-0.062474078593695,-0.0748732089996337,-0.6358819007873535,-0.0799693568627475,0.0281398892402648,-0.3248118162155151,-0.0365488260070918,0.0280818343162536,-0.4508981704711914,-0.0546099199931262,0.0216206908226013,-0.5294836461544037,-0.0745310663263438,0.0131557583808898,-0.5983574092388153,-0.0909131496231196,0.0866473913192749,-0.2797988653182983,-0.0513540237228511,0.124024748802185,-0.3611109852790832,-0.0662094532529948,0.1437819004058838,-0.4158251881599426,-0.0778698801080821,0.1572272777557373,-0.4701436758041382,-0.0882011829893229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEF,0.0,0.0,0.0,-0.0872644186019897,-0.0602328777313232,-0.033827769010287,-0.1601524651050567,-0.1589996814727783,-0.0551783390333468,-0.2152986526489257,-0.2372129559516906,-0.076207986473065,-0.2672270238399505,-0.2871331572532654,-0.097582010923844,-0.0825960636138916,-0.3284365534782409,-0.0279428180297429,-0.1055747270584106,-0.4582150280475616,-0.0507003240277583,-0.1137477159500122,-0.5361201167106628,-0.0720722809424216,-0.1195164322853088,-0.6050283908843994,-0.0899774715294653,-0.024138331413269,-0.3413823843002319,-0.033157768099528,-0.0359856486320495,-0.4809873700141907,-0.0529371894886309,-0.0449917316436767,-0.5674180388450623,-0.0739554896941001,-0.0540874004364013,-0.640873283147812,-0.0920238032927329,0.0343619585037231,-0.3197068572044372,-0.0435424581160361,0.0409088134765625,-0.447301983833313,-0.0648719429960066,0.0389105677604675,-0.5283039212226868,-0.0867807030668074,0.0341089963912963,-0.5995095372200012,-0.1044250711788947,0.0907468199729919,-0.271673321723938,-0.0575266465534979,0.1338396072387695,-0.350786805152893,-0.0757975041856581,0.1583546996116638,-0.4042105674743653,-0.0896215796460921,0.1760405302047729,-0.4580456614494324,-0.101371607183438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEF,0.0,0.0,0.0,-0.0879063010215759,-0.0597356557846069,-0.0359666318287565,-0.1627174317836761,-0.1538439393043518,-0.0593269996931268,-0.2194560766220092,-0.2304266095161438,-0.0819726035585119,-0.2724227011203766,-0.2782042622566223,-0.1047005549659444,-0.0888102650642395,-0.3285521268844604,-0.029469252436371,-0.113501489162445,-0.4584617018699646,-0.0525706232180311,-0.1233131289482116,-0.5367823839187622,-0.074331228493662,-0.1309462189674377,-0.6056092977523804,-0.092467819212885,-0.0294937491416931,-0.3438174724578857,-0.0339079544534399,-0.0427953004837036,-0.4816862046718598,-0.0534426317205144,-0.0532201528549194,-0.5666404962539673,-0.0740848526944829,-0.0638591647148132,-0.6383698880672455,-0.0918436617245389,0.0298779606819152,-0.3236778974533081,-0.0436947689046575,0.0341781973838806,-0.4504324197769165,-0.0639266640534116,0.0306397676467895,-0.5309690237045288,-0.0847875148644163,0.0248534083366394,-0.6010231971740723,-0.1018414691676809,0.087381899356842,-0.2765004634857178,-0.0574029394080354,0.1262573003768921,-0.3578194379806518,-0.0746025264849378,0.1481882929801941,-0.4133128225803375,-0.0873619586815549,0.1639728546142578,-0.4684678912162781,-0.0982952237715436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEF,0.0,0.0,0.0,-0.0889113545417785,-0.0592043399810791,-0.0364383164342427,-0.1636869311332702,-0.1527976393699646,-0.0600452165599847,-0.2205614447593689,-0.2293938398361206,-0.082860362112143,-0.2741522490978241,-0.2761620879173279,-0.1058207716341996,-0.0902637243270874,-0.3279675841331482,-0.0300896729823136,-0.1158553957939148,-0.4584381580352783,-0.0534341375823998,-0.1262150406837463,-0.5372243821620941,-0.0752799104448342,-0.1343817710876464,-0.6062308549880981,-0.0934999402161622,-0.0310720205307006,-0.3433595895767212,-0.0345117117758775,-0.0452133417129516,-0.4813167452812195,-0.0544010217782044,-0.0562411546707153,-0.566092848777771,-0.0753340091105485,-0.0674147605895996,-0.637747198343277,-0.0932868089076066,0.0282114148139953,-0.3236162662506103,-0.0443100634511495,0.031518280506134,-0.4503675997257233,-0.0649870600100541,0.0274891257286071,-0.5315204858779907,-0.0862086604829812,0.0213631391525268,-0.6020451486110687,-0.1034938584562325,0.0858528614044189,-0.2771419286727905,-0.0580347146388078,0.1239837408065795,-0.3591325879096985,-0.0754709358807588,0.1458969712257385,-0.4146097898483277,-0.0883658047314668,0.1617693901062011,-0.4695075154304505,-0.0994457866545701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEF,0.0,0.0,0.0,-0.0880663394927978,-0.0585138797760009,-0.0362549709283825,-0.1631633639335632,-0.1514786481857299,-0.0597839603328225,-0.2204898595809936,-0.2278127670288086,-0.0825319873296734,-0.2734044194221496,-0.276140809059143,-0.1053236859046933,-0.0901774168014526,-0.3270459771156311,-0.0300079496705052,-0.1158033013343811,-0.4562883973121643,-0.0532735796772953,-0.1260381340980529,-0.5344578623771667,-0.0752152117096898,-0.1338277459144592,-0.6033695936203003,-0.0935303183400151,-0.0313302278518676,-0.3424330949783325,-0.0342892917000767,-0.0457066893577575,-0.4801016449928284,-0.0539207967125889,-0.0567318201065063,-0.5658004581928253,-0.0747477250301358,-0.0678648948669433,-0.6383462250232697,-0.092754422327232,0.0279920101165771,-0.3223153948783874,-0.0439340869092461,0.0312506556510925,-0.44950270652771,-0.0646234216296193,0.0269911289215087,-0.5302248299121857,-0.0859581070148465,0.020419418811798,-0.6004720032215118,-0.1033411609136578,0.0858052372932434,-0.2751944065093994,-0.0574676307045933,0.1250141859054565,-0.3561547994613647,-0.0752113895618435,0.1468674540519714,-0.411415696144104,-0.0885464089118954,0.1623499393463134,-0.4664127230644226,-0.0999074788891789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEF,0.0,0.0,0.0,-0.0904150605201721,-0.057995319366455,-0.0337250829114452,-0.1666740477085114,-0.15249764919281,-0.0550115555896297,-0.2259530425071717,-0.2272281050682068,-0.0759600513054862,-0.2799903750419617,-0.2740651369094848,-0.0969322957469955,-0.0931864380836486,-0.3274775147438049,-0.024476956613256,-0.1203166842460632,-0.4564428329467773,-0.0461443886532321,-0.1297610402107238,-0.5341346561908722,-0.0672750510646835,-0.1355960965156555,-0.6011111438274384,-0.0850170143320098,-0.0348175168037414,-0.3434286117553711,-0.0293861125036016,-0.0502951741218566,-0.4832096099853515,-0.0469970405473247,-0.0603098273277282,-0.5689124464988708,-0.0670238621904388,-0.069274365901947,-0.6392726004123688,-0.0845454670860305,0.024563729763031,-0.3240897059440613,-0.0397767089678779,0.0271848440170288,-0.4528864622116089,-0.0589674003793731,0.0241563320159912,-0.5330021381378174,-0.0800199769808784,0.0191554427146911,-0.6017228662967682,-0.0973402299358383,0.0827230811119079,-0.2773648500442505,-0.0539103895797267,0.1220136880874633,-0.3582277297973633,-0.0705021135880485,0.1434698700904846,-0.4119707942008972,-0.0833391286804214,0.1584622263908386,-0.4653203189373016,-0.0944628976656928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEF,0.0,0.0,0.0,-0.0906926393508911,-0.0565435886383056,-0.0344305988453754,-0.1678546667098999,-0.1509153246879577,-0.055471384903086,-0.2271500825881958,-0.2256498336791992,-0.075946757575167,-0.2807354032993317,-0.2717034816741943,-0.0964606497489341,-0.0942836999893188,-0.3254392147064209,-0.0251930337451824,-0.1220424175262451,-0.4540551900863647,-0.047002425422562,-0.1318316459655761,-0.5323217809200287,-0.0682526249491103,-0.1381713151931762,-0.5997627377510071,-0.0860645491682418,-0.0360341668128967,-0.3418119549751282,-0.0295460186951288,-0.0517029166221618,-0.4807078242301941,-0.0472684782050975,-0.0621774196624755,-0.5659346580505371,-0.0672617871366866,-0.0718955397605896,-0.6362629830837251,-0.0847107414208778,0.0232999324798584,-0.3234414458274841,-0.039445349951876,0.0257297754287719,-0.4511873722076416,-0.0586603637837299,0.0221442580223083,-0.5311205983161926,-0.079639958222998,0.0165218114852905,-0.6001408398151398,-0.0969117675029167,0.0814689397811889,-0.2777889966964721,-0.0531842578255065,0.1209926605224609,-0.3584569096565246,-0.0695800427400001,0.1427047848701477,-0.4117945730686188,-0.0823294539057144,0.1579881906509399,-0.4644905924797058,-0.0934387389623054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEF,0.0,0.0,0.0,-0.0905773639678955,-0.0525487661361694,-0.0335119855947708,-0.1671898663043975,-0.1465818881988525,-0.0537718539483761,-0.2262468338012696,-0.2212468385696411,-0.0735339899904942,-0.2799623012542725,-0.2630276083946228,-0.0934015517480587,-0.0946877002716064,-0.3205257058143616,-0.02458917213454,-0.1230146288871765,-0.446615993976593,-0.0465564434774136,-0.1341420412063598,-0.5233414471149445,-0.0681169336087918,-0.1418792605400086,-0.5901264250278473,-0.0859651570565915,-0.0364561080932617,-0.3381460309028625,-0.0289960583098149,-0.0526327490806579,-0.4760935604572296,-0.045709956938765,-0.0642575621604919,-0.5610125362873077,-0.0647541811115956,-0.0747545361518859,-0.6321288049221039,-0.0814697598464703,0.0232889652252197,-0.3203955292701721,-0.0388094005532479,0.026408314704895,-0.4471529722213745,-0.0565232229776596,0.0222806930541992,-0.5254121720790863,-0.0756254052169537,0.0164011120796203,-0.5934194624423981,-0.0916215484388089,0.0813646912574768,-0.2752667665481567,-0.052556753659985,0.1202430725097656,-0.3562520742416382,-0.0672359173543667,0.1413055658340454,-0.409052848815918,-0.0780794849045491,0.1564763784408569,-0.4610048532485962,-0.087785184884808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEF,0.0,0.0,0.0,-0.090088665485382,-0.0533660054206848,-0.0315874418975567,-0.1666714549064636,-0.1478750705718994,-0.0512903719009614,-0.2251078486442566,-0.2227059006690979,-0.0711195110143876,-0.279209166765213,-0.2640194892883301,-0.0913085504235482,-0.094314694404602,-0.3236152529716491,-0.0220837886245703,-0.1239240169525146,-0.4491826295852661,-0.0435473373891568,-0.1352953314781189,-0.5257111191749573,-0.0650149746598458,-0.1431795954704285,-0.5924268364906311,-0.0831086127819275,-0.0363368391990661,-0.3413094282150268,-0.027884819990561,-0.0541082620620727,-0.4782764315605164,-0.045172934866116,-0.0664609670639038,-0.5631631016731262,-0.0652101873220658,-0.0778883695602417,-0.6342146694660187,-0.0827097832025742,0.0234366655349731,-0.3238528370857239,-0.0389826088012909,0.0250242352485656,-0.4500434398651123,-0.0574652305604672,0.0204522013664245,-0.5295858979225159,-0.0779769061865067,0.0139188766479492,-0.5990920066833496,-0.0950332223238205,0.0818613171577453,-0.2787466049194336,-0.0537621355416035,0.1202481985092163,-0.3584542870521545,-0.0690983845652794,0.14102703332901,-0.4113749265670776,-0.080896162873671,0.1553540229797363,-0.4637891054153442,-0.0914744599522805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEF,0.0,0.0,0.0,-0.0904073119163513,-0.0526885986328125,-0.0321715431477684,-0.1673248410224915,-0.1469607353210449,-0.0521241644587177,-0.2258756458759308,-0.2219346761703491,-0.0720349731113571,-0.279918372631073,-0.2634599208831787,-0.0922653781439918,-0.0944122672080993,-0.3225996494293213,-0.0230159176703352,-0.1242220997810363,-0.4478662610054016,-0.044691621717419,-0.1358923316001892,-0.5241638422012329,-0.0662668155696052,-0.1439687013626099,-0.5909438729286194,-0.0844151782061714,-0.0362823009490966,-0.3406407237052917,-0.0284999398704427,-0.0542481541633605,-0.4779293537139892,-0.0458104977574009,-0.0667533278465271,-0.5631281733512878,-0.0657199131514686,-0.0780604481697082,-0.6345920264720917,-0.0831478567983764,0.023560345172882,-0.3231441974639892,-0.0392943764295238,0.0251392722129821,-0.448925256729126,-0.0577368097569603,0.0203153491020202,-0.528384268283844,-0.0780081110264915,0.0137302875518798,-0.5980227887630463,-0.0949241401817459,0.0820406675338745,-0.2780182361602783,-0.0538390906717437,0.1203141212463378,-0.3575749397277832,-0.0691253947283882,0.1408130526542663,-0.4105002284049988,-0.0807577254440445,0.1550039649009704,-0.4630914330482483,-0.0912134381200927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
